deposit,lat,long,aboriginal_risk
Bald Hill,-31.5198,122.1785,0.3286666667
Buldania,-32.06636,122.03325,0.6529536667
Greenbushes,-33.86611,116.06472,0.4165533333
Kathleen Valley,-27.48070,120.54605,0.7336893333
Mt Cattlin,-33.56306,120.03527,0.5406993333
Mt Holland (Earl Grey),-32.10358,119.76839,0.4385293333
Mt Marion,-31.07445,121.46333,0.6637286667
Mt Thirsty,-32.1019,121.6478,0.36282
NiWest,-28.8633,121.793,0.6481126667
Nova-Bollinger,-31.8199,123.1924,0.414484
Pilgangoora,-21.07195,118.90139,0.6550666667
Savannah,-17.35106,128.02506,0.5550213333
Wilconi,-26.62281,120.19283,0.5896666667
Wingellina,-26.05681,128.95983,0.6736666667
Wodgina,-21.1746,118.6764,0.7321403333