Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Acanthagenys rufogularis Gould, 1838",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Acariformes,,Animalia,Arthropoda,Arachnida,,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Accipiter cirrocephalus (Vieillot, 1817)",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Actitis hypoleucos (Linnaeus, 1758)",MI,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Aegotheles cristatus (Shaw, 1790)",,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Agraptocorixa parvipunctata (Hale, 1922)",,Animalia,Arthropoda,Insecta,Hemiptera,Corixidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Amitermes westraliensis (Hill, 1929)",,Animalia,Arthropoda,Insecta,Blattodea,Termitidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Amphibolurus longirostris (Boulenger, 1883)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Amytornis striatus (Gould, 1840)",,Animalia,Chordata,Aves,Passeriformes,Maluridae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Aname L. Koch, 1873",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Aname baileyorum Castalanelli, Framenau, Huey, Hillyer & Harvey, 2020",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Anamesia angusta Mackerras, 1966",,Animalia,,,,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Anamidae Simon, 1889",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Anas gracilis Buller, 1869",,Animalia,Chordata,Aves,Anseriformes,Anatidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Anas superciliosa Gmelin, 1789",,Animalia,Chordata,Aves,Anseriformes,Anatidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Anilios ammodytes (Montague, 1914)",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Anilios ganei (Aplin, 1998)",P1,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Anilios grypus (Waite, 1918)",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Anomotarus (Anomotarus) nitidior Baehr, 2006",,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Antaresia perthensis (Stull, 1932)",,Animalia,Chordata,Reptilia,Squamata,Pythonidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Antaresia stimsoni (Smith, 1985)",,Animalia,Chordata,Reptilia,Squamata,Pythonidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Anthus australis Vieillot, 1818",,Animalia,Chordata,Aves,Passeriformes,Motacillidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Antichiropus Attems, 1911",,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Antichiropus forcipatus,P1,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Apus pacificus (Latham, 1801)",MI,Animalia,Chordata,Aves,Apodiformes,Apodidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Aquila audax (Latham, 1802)",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Arachnida,,Animalia,Arthropoda,Arachnida,,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Araneomorphae,,Animalia,Arthropoda,Arachnida,Araneae,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ardeotis australis (J.E. Gray, 1829)",,Animalia,Chordata,Aves,Otidiformes,Otididae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Artamus cinereus Vieillot, 1817",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Artamus minor Vieillot, 1817",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Artamus personatus (Gould, 1841)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Asadipus barlee Platnick, 2000",,Animalia,Arthropoda,Arachnida,Araneae,Lamponidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Asadipus cape Platnick, 2000",,Animalia,Arthropoda,Arachnida,Araneae,Lamponidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Asianopis schomburgki (Karsch, 1878)",,Animalia,Arthropoda,Arachnida,Araneae,Deinopidae,mixed,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Assamiidae Sørensen, 1884",,Animalia,Arthropoda,Arachnida,Opiliones,Assamiidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Asteron Jocqué, 1991",,Animalia,Arthropoda,Arachnida,Araneae,Zodariidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Austrohorus Beier, 1966",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Olpiidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Austrostrophus Hoffman, 2003",,Animalia,Arthropoda,Diplopoda,Spirobolida,Trigoniulidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Aythya australis (Eyton, 1838)",,Animalia,Chordata,Aves,Anseriformes,Anatidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Baetidae,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Barnardius zonarius (Shaw, 1805)",,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Beierolpium Heurtault, 1976",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Olpiidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Blattodea Brunner von Wattenwyl, 1882",,Animalia,Arthropoda,Insecta,Blattodea,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Bombyliidae Latreille, 1802",,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Boreosaragus Matthews, 1993",,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,mixed,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Bos primigenius taurus Linnaeus & Raffles, 1758",,Animalia,,,,,alien,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Brachyurophis approximans (Glauert, 1954)",,Animalia,Chordata,Reptilia,Squamata,Elapidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Buddelundia Michaelsen, 1912",,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Burhinus grallarius (Latham, 1802)",,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cacatua roseicapilla Vieillot, 1817",,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cacatua sanguinea Gould, 1843",,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Caenidae,,Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Camelus dromedarius Linnaeus, 1758",,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,alien,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Canis familiaris L., 1758",,Animalia,Chordata,Mammalia,Carnivora,Canidae,alien,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Carenum Bonelli, 1813",,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Carenum pulchrum Sloane, 1897",,Animalia,,,,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Carlia munda (De Vis, 1885)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Carlia triacantha (Mitchell, 1953)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cavisternum clavatum Baehr, Harvey & Smith, 2010",,Animalia,,,,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Centropus phasianinus (Latham, 1802)",,Animalia,Chordata,Aves,Cuculiformes,Centropodidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cephaloplatus (Cephaloplatus) bellus Gross, 1970",,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ceratopogonidae Newman, 1834",,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Chalcites basalis (Horsfield, 1821)",,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Chalinolobus gouldii (Gray, 1841)",,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Charadrius veredus Gould, 1848",MI,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Chelodina steindachneri Siebenrock, 1901",,Animalia,Chordata,Reptilia,Testudines,Chelidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Chilopoda Latreille, 1817",,Animalia,Arthropoda,Chilopoda,,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Chironominae,,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Chlamydera guttata Gould, 1862",,Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Chthoniidae Daday, 1888",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Chthoniidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cicindela (Myriochile) mastersi Castelnau, 1867",,Animalia,Arthropoda,Insecta,Coleoptera,"Carabidae Latreille, 1802",,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cincloramphus cruralis (Vigors & Horsfield, 1827)",,Animalia,Chordata,Aves,Passeriformes,Sylviidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cincloramphus mathewsi Iredale, 1911",,Animalia,Chordata,Aves,Passeriformes,Sylviidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Circus assimilis Jardine & Selby, 1828",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Clivina Latreille, 1802",,Animalia,,,,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Coenagrionidae,,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Coleoptera,,Animalia,Arthropoda,Insecta,Coleoptera,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Collembola,,Animalia,Arthropoda,Entognatha,Collembola,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Colluricincla harmonica (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Coptotermes acinaciformis (Froggatt, 1898)",,Animalia,,,,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Coracina novaehollandiae (Gmelin, 1789)",,Animalia,Chordata,Aves,Passeriformes,Campephagidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Coracina novaehollandiae subpallida Mathews, 1912",,Animalia,Chordata,Aves,Passeriformes,Campephagidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Corduliidae,,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Corixidae,,Animalia,Arthropoda,Insecta,Hemiptera,Corixidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Corvus bennetti North, 1901",,Animalia,Chordata,Aves,Passeriformes,Corvidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Corvus orru Bonaparte, 1850",,Animalia,Chordata,Aves,Passeriformes,Corvidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cracticus nigrogularis (Gould, 1837)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cracticus torquatus (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cratogaster Blanchard, 1853",,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Crenadactylus ocellatus (Gray, 1845)",,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Creontiades dilutus (Stål, 1859)",,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cryptoblepharus ustulatus Horner, 2007",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cryptoerithus Rainbow, 1915",,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cryptops Leach, 1814",,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Cryptopidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus caudicinctus (Günther, 1875)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus caudicinctus caudicinctus (Gunther, 1875)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus isolepis (Fischer, 1881)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus isolepis isolepis (Fischer, 1881)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus nuchalis (De Vis, 1884)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus duricola Storr, 1975",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus fallens Storr, 1974",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus grandis Storr, 1969",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus grandis titan Storr, 1980",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus helenae Storr, 1969",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus inornatus (Gray, 1845)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus leonhardii (Sternfeld, 1919)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus pantherinus (Peters, 1866)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus piankai Storr, 1969",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus rubicundus Storr, 1978",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus saxatilis Storr, 1970",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus schomburgkii (Peters, 1863)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cyclodomorphus melanops (Stirling & Zietz, 1893)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cyclodomorphus melanops melanops (Stirling & Zietz, 1893)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cyclorana australis (Gray, 1842)",,Animalia,Chordata,Amphibia,Anura,Pelodryadidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Cyclorana maini Tyler & Martin, 1977",,Animalia,Chordata,Amphibia,Anura,Pelodryadidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Dacelo leachii Vigors & Horsfield, 1826",,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Dampetrus Karsch, 1880",,Animalia,Arthropoda,Arachnida,Opiliones,Assamiidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Dasycercus blythi (Waite, 1904)",P4,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Dasykaluta rosamondae (Ride, 1964)",,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Dasyurus hallucatus Gould, 1842",EN,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Delma elegans Kluge, 1974",,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Delma nasuta Kluge, 1974",,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Delma pax Kluge, 1974",,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Delma tincta De Vis, 1888",,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Demansia psammophis (Schelgel, 1837)",,Animalia,Chordata,Reptilia,Squamata,Elapidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Diacyclops Kiefer, 1927",,Animalia,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Diacyclops humphreysi Pesce & De Laurentiis, 1996",,Animalia,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Diacyclops humphreysi humphreysi Pesce & De Laurentiis, 1996",,Animalia,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Diacyclops scanloni Karanovic, 2006",,Animalia,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Dieuches distanti Bergroth, 1916",,Animalia,,,,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Dieuches oceanicus (Distant, 1901)",,Animalia,,,,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Dieuches scutellatus Distant, 1904",,Animalia,,,,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Digitonthophagus gazella (Fabricius, 1787)",,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
