deposit,lat,long,environmental_risk
Bald Hill,-31.5198,122.1785,0.7485178248
Buldania,-32.06636,122.03325,0.6840242066
Greenbushes,-33.86611,116.06472,0.6597045333
Kathleen Valley,-27.48070,120.54605,0.5864065362
Mt Cattlin,-33.56306,120.03527,0.2766543582
Mt Holland (Earl Grey),-32.10358,119.76839,0.699070209
Mt Marion,-31.07445,121.46333,0.5915260174
Mt Thirsty,-32.1019,121.6478,0.6067875904
NiWest,-28.8633,121.793,0.5874821267
Nova-Bollinger,-31.8199,123.1924,0.6124355987
Pilgangoora,-21.07195,118.90139,0.4133110393
Savannah,-17.35106,128.02506,0.6001535621
Wilconi,-26.62281,120.19283,0.4956818517
Wingellina,-26.05681,128.95983,0.599991771
Wodgina,-21.1746,118.6764,0.2719754525